rubisco	6_COG1850	99.76	421	1	0	1	1263	1	421	0.0	 770
rubisco	43_COG1850	73.42	365	97	2	16	1110	3	362	3e-149	 522
rubisco	27_COG1850	68.19	415	132	2	10	1254	2	411	2e-143	 502
rubisco	130_COG1850	61.59	414	159	1	10	1251	2	410	1e-127	 450
rubisco	34_COG1850	57.73	414	173	2	16	1251	12	420	2e-116	 412
rubisco	81_COG1850	50.60	417	206	1	4	1254	6	420	5e-105	 375
rubisco	26_COG1850	53.92	421	187	3	10	1251	3	423	2e-103	 370
rubisco	11_COG1850	48.92	370	186	2	10	1110	2	367	7e-97	 348
rubisco	135_COG1850	44.44	414	228	4	19	1254	2	408	3e-85	 309
rubisco	2_COG1850	42.98	363	207	3	19	1107	17	371	4e-78	 285
rubisco	93_COG1850	34.87	413	268	5	19	1254	22	427	2e-43	 170
rubisco	89_COG1850	35.11	413	267	5	19	1254	22	426	7e-43	 168
rubisco	57_COG1850	32.77	415	276	6	19	1254	6	386	3e-42	 166
rubisco	85_COG1850	33.74	412	272	4	19	1251	22	426	1e-41	 164
rubisco	102_COG1850	34.30	414	271	6	10	1248	19	425	2e-41	 164
rubisco	97_COG1850	34.14	413	270	5	19	1251	22	426	4e-41	 162
rubisco	52_COG1850	33.42	407	264	10	55	1254	18	398	2e-38	 153
rubisco	44_COG1850	31.48	432	274	8	22	1251	14	422	1e-37	 151
rubisco	4_COG1850	32.78	418	260	10	64	1254	39	433	3e-37	 150
rubisco	128_COG1850	35.80	338	200	5	292	1254	99	435	6e-37	 149
rubisco	115_COG1850	33.33	351	216	5	256	1254	86	435	2e-36	 147
rubisco	47_COG1850	30.79	432	277	9	22	1251	14	422	2e-35	 144
rubisco	29_COG1850	29.14	405	286	4	28	1239	25	422	9e-35	 141
rubisco	40_COG1850	32.77	354	217	7	256	1254	84	433	1e-34	 141
rubisco	48_COG1850	30.79	432	277	9	22	1251	14	422	2e-34	 140
rubisco	84_COG1850	32.13	417	278	9	19	1254	24	406	5e-34	 139
rubisco	32_COG1850	29.19	418	295	4	10	1260	19	429	6e-34	 139
rubisco	3_COG1850	30.75	348	229	7	28	1035	30	363	1e-33	 138
rubisco	51_COG1850	30.77	403	276	7	55	1254	18	394	4e-33	 136
rubisco	46_COG1850	30.52	308	210	4	67	978	30	319	3e-32	 133
rubisco	71_COG1850	31.43	420	284	8	7	1254	21	416	6e-32	 132
rubisco	121_COG1850	34.02	338	206	4	292	1254	100	436	8e-32	 132
rubisco	73_COG1850	31.74	419	282	8	7	1251	22	416	8e-32	 132
rubisco	33_COG1850	28.25	361	256	5	28	1101	27	378	1e-31	 131
rubisco	72_COG1850	30.95	420	286	8	7	1254	17	412	2e-31	 130
rubisco	35_COG1850	27.32	366	264	6	10	1101	19	376	5e-31	 129
rubisco	79_COG1850	28.47	418	298	4	10	1260	28	438	2e-30	 127
rubisco	60_COG1850	30.15	335	228	6	64	1050	35	342	3e-30	 126
rubisco	5_COG1850	30.19	308	210	6	52	960	58	346	1e-28	 121
rubisco	113_COG1850	30.65	323	220	7	52	1008	51	355	9e-28	 118
rubisco	106_COG1850	30.65	323	220	7	52	1008	51	355	9e-28	 118
rubisco	12_COG1850	27.68	354	239	7	40	1050	49	384	2e-27	 117
rubisco	39_COG1850	29.05	327	227	6	25	990	6	319	3e-27	 117
rubisco	14_COG1850	28.85	364	242	7	52	1092	51	396	3e-27	 117
rubisco	49_COG1850	29.86	211	145	1	304	927	93	303	3e-27	 116
rubisco	38_COG1850	28.35	328	231	6	19	990	4	319	3e-27	 116
rubisco	112_COG1850	30.34	323	221	7	52	1008	51	355	6e-27	 115
